Persona,JobID,JobName,Workflow,RequiredInputs,CanonicalObjects,PersonaObjects,Methods,Screens,WorkProducts,Automations,HumanDecisions,ProhibitedOutcomes,Validation,GoldCase,Status
Journalist,JRN-11,Right of reply,"Track responses/denials from subjects","Correspondence; Claims","Claims; events","(workflow state)","form; review","Right of Reply","Right-of-reply log","Prefill from correspondence","Confirm responses","Omit a reply silently","Replies cited","(gold case TBD)","Absent"
Journalist,JRN-12,Publication decision,"Record human go/no-go with rationale","Verification; legal review","Claims; work product run","(workflow state)","decision; human approval","Publication Decision","Publication decision record","Prepare readiness summary","Human publication decision","App approves publication","Decision is human; audited","(gold case TBD)","Absent"
Journalist,JRN-13,Correction history,"Track post-publication corrections","Published items; new evidence","Claims; work product run","(workflow state)","review; form","Correction History","Correction log","Flag affected claims","Confirm corrections","Rewrite record silently","Corrections versioned","(gold case TBD)","Absent"
Journalist,JRN-14,Publication package,"Assemble cited package + receipt","Verified claims; quotes","Claims; work product run","(workflow state)","work-product build","Publication Package","Publication package; receipt","Assemble package","Approve package","Include unverified fact","Report==receipt; cites reopen","(gold case TBD)","Absent"
Individual,IND-01,Personal records,"Organize personal documents by category","Personal documents","Sources; entities; Claims","(workflow state)","intake; form","Records Home","Records index","Auto-categorize","Confirm categories","Expose sensitive data","SensitiveScope enforced","(gold case TBD)","Absent"
Individual,IND-02,Official-document versions,"Track versions of official documents","Documents","Sources; source versions","(workflow state)","review; table","Document Versions","Version history","Detect new versions","Confirm current version","Discard old version","Version-instead-of-delete","(gold case TBD)","Absent"
Individual,IND-03,Career & education,"Compile career/education record","Resumes; certificates","Entities; events; Claims","(workflow state)","form; timeline","Career screen","Career/education summary","Prefill from documents","Confirm entries","Invent credentials","Each entry cites source","(gold case TBD)","Absent"
Individual,IND-04,Family records,"Organize family documents/relationships","Family documents","Entities; relationships; events","(workflow state)","relationship analysis","Family screen","Family record","Propose relationships","Confirm relationships","Assert relationship w/o evidence","Relationships cite evidence","(gold case TBD)","Absent"
Individual,IND-05,Property,"Track property documents/ownership","Deeds; bills","Sources; events; Claims","(workflow state)","form; table","Property screen","Property register","Prefill ownership","Confirm ownership","Assert title","Each entry cites source","(gold case TBD)","Absent"
Individual,IND-06,Insurance,"Track policies/claims/renewals","Policies; correspondence","Sources; events; Claims","Deadline (candidate)","form; table","Insurance screen","Insurance register","Flag renewal candidates","Confirm renewals","Auto-file a claim","Candidate deadline until confirmed","(gold case TBD)","Absent"
Individual,IND-07,Health-record scope,"Organize health records under strict scope","Health documents","Sources; Claims","(workflow state)","review; form","Health screen","Health summary","Categorize records","Confirm scope","Diagnose; leak health data","No diagnosis; SensitiveScope","(gold case TBD)","Absent"
Individual,IND-08,Applications & cases,"Track applications/cases and their documents","Application documents","Sources; events; Claims","Issue; ProfessionalTask","form; workflow","Applications screen","Application tracker","Draft checklists","Confirm submissions","Submit on user's behalf","Tasks link evidence","(gold case TBD)","Absent"
Individual,IND-09,Important dates & renewals,"Turn dated obligations into confirmed reminders","Documents with dates","Events; Claims","Deadline; DeadlineCandidate","review; form","Reminders screen","Reminder list","Extract candidate dates","Confirm each reminder","Fire unconfirmed reminder","Candidate until confirmed","(gold case TBD)","Absent"
Individual,IND-10,Emergency binder (ICE),"Assemble emergency document pack","Key documents","Sources; work product run","(workflow state)","work-product build","Emergency Pack","Emergency pack","Suggest inclusions","Confirm pack","Expose data insecurely","SensitiveScope on export","(gold case TBD)","Absent"
Individual,IND-11,Share safely (redacted),"Share with verified redaction","Documents; recipients","Sources; redaction records","(workflow state)","review; work-product build","Share screen","Redacted export","Propose redactions","Confirm redactions","Leak redacted content","Redaction verified (text+visual)","(gold case TBD)","Absent"
Individual,IND-12,Personal chronology,"Build a cited life timeline","Events; dates","Events; Claims","(workflow state)","timeline analysis","Personal Chronology","Personal chronology","Order by lineage date","Confirm inclusion","Invent dates","Undated labelled; cited","(gold case TBD)","Partial"
Individual,IND-13,Legacy binder,"Assemble durable legacy archive + receipt","Selected documents","Sources; work product run","(workflow state)","work-product build","Legacy screen","Legacy archive; receipt","Assemble archive","Approve archive","Alter records silently","Report==receipt; cites reopen","(gold case TBD)","Absent"
Lawyer,LAW-01,Matter intake,"Open matter; scope; parties; sources","Matter facts; scope; sources","Workspace; sources","Issue","intake; scope","Matter Intake","Matter profile","Suggest scope","Confirm scope","Give legal advice","Scope persists","(gold case TBD)","Absent"
Lawyer,LAW-02,Parties & issues,"Identify parties and legal issues","Parties; issues","Entities; Claims","Issue; IssueLink","form; review","Parties and Issues","Issue register","Propose parties/issues","Confirm parties/issues","Decide liability","Issues link canonical objects","(gold case TBD)","Absent"
Lawyer,LAW-03,Case chronology,"Build a cited statement-of-facts timeline","Events; dates","Events; Claims; evidence","(workflow state)","timeline analysis","Fact Chronology","Chronology / statement of facts","Order by lineage date","Confirm facts","Assert disputed fact as settled","Undated labelled; each fact cited","(gold case TBD)","Partial"
Lawyer,LAW-04,Fact–evidence matrix,"Map each fact to supporting/opposing evidence","Claims; evidence","Claims; contradictions","(workflow state)","matrix; review","Fact-Evidence Matrix","Fact-evidence matrix","Prefill from Claims","Confirm mappings","Average disputed facts","Both sides preserved; cites reopen","(gold case TBD)","Absent"
Lawyer,LAW-05,Witness profiles,"Per-witness summary + contradictions","Transcripts; testimony","Entities; Claims; contradictions","(workflow state)","review; contradiction matrix","Witness Profiles","Witness summaries; impeachment pack","Surface contradictions","Confirm profile","Assert credibility verdict","Contradictions cite both sides","conflicting accounts case","Absent"
Lawyer,LAW-06,Document coding,"Code documents by issue/relevance","Documents; codebook","Sources; Claims","(workflow state)","form; table","Document Coding","Coding log","Suggest codes","Confirm codes","Auto-exclude relevant docs","Decisions recorded; reversible","(gold case TBD)","Absent"
Lawyer,LAW-07,Privilege log,"Flag candidate-privileged documents for review","Documents","Sources; Claims","(workflow state); SensitiveScope","review; decision","Privilege Review","Privilege log","Propose privilege candidates","Confirm privilege","App marks privilege established","Privilege never auto-established","(gold case TBD)","Absent"
Lawyer,LAW-08,Obligations & clauses,"Compare clauses/obligations across documents","Contracts","EvidenceBlocks; Claims","(workflow state)","matrix; calculation","Clause Comparison","Obligations schedule","Align clauses","Confirm comparisons","Interpret contract as advice","Each cell cites clause locator","(gold case TBD)","Absent"
Lawyer,LAW-09,Damages ledger,"Compute damages from source amounts","Financial documents","Events; structured tables; Claims","(workflow state)","calculation; table","Damages Ledger","Damages ledger","Sum/compute amounts","Confirm figures","Assert legal damages","Amounts cite source cells","payment discrepancy case","Absent"
Lawyer,LAW-10,Deadlines,"Track matter deadlines from documents","Documents with dates","Events; Claims","Deadline; DeadlineCandidate","review; form","Deadlines","Deadline calendar","Extract candidate deadlines","Confirm each deadline","Fire unconfirmed deadline","Candidate until confirmed","(gold case TBD)","Absent"
Lawyer,LAW-11,Deposition outline,"Draft deposition outline grounded in the record","Transcripts; Claims","Claims; contradictions","(workflow state)","review; form","Deposition Outline","Deposition outline","Draft questions from record","Confirm outline","Assert answers","Questions cite record","(gold case TBD)","Absent"
Lawyer,LAW-12,Exhibit list & binder,"Assemble exhibit list/binder with index","Selected documents","Sources; work product run","(workflow state)","work-product build","Exhibit Binder","Exhibit list; binder","Compile exhibit index","Confirm exhibits","Alter an exhibit","Each exhibit cites source version","(gold case TBD)","Absent"
Lawyer,LAW-13,Document production,"Produce cited export set with manifest + receipt","Selected docs; scope","Sources; work product run","(workflow state); SensitiveScope","work-product build","Production/Export","Production set; receipt","Assemble production","Approve production","Produce out-of-scope material","Report==receipt; custody hashes","(gold case TBD)","Partial"
Lawyer,LAW-14,Redaction validation,"Verify redactions before disclosure","Documents; redactions","Sources; redaction records","(workflow state); SensitiveScope","review; work-product build","Redaction Validation","Redaction validation record","Propose redactions","Confirm redactions","Disclose redacted content","Text+visual redaction verified","(gold case TBD)","Absent"
Researcher,RES-15,Ask the corpus,"Ask a question over the authorized corpus","Question; matter scope","Sources; EvidenceBlocks; Claims","(workflow state)","retrieval; evidence gate","Ask","Cited answer","Retrieve evidence","Accept/refine answer","Answer beyond the corpus","Every claim cites evidence","(gold case TBD)","Absent"
Researcher,RES-16,Method workbench,"Run structured methods over the matter","Matter; method choice","MethodRuns; Claims; evidence","(workflow state)","5W1H; hypothesis matrix; root cause","Methods","Method run record","Suggest next step","Human review gates","Auto-confirm findings","Method validators enforced","(gold case TBD)","Absent"
Researcher,RES-17,Causal analysis,"Trace why an event unfolded","Event; evidence","MethodRuns; Claims; evidence","(workflow state)","five whys; fishbone","Causal Analysis","Causal chain record","Suggest why-levels","Confirm root cause","Unsupported causal leap","Chain deepens only from supported levels","(gold case TBD)","Absent"
Researcher,RES-18,Errata register,"Track edition corrections to closure","Identified errors","MethodRuns (CAPA); Claims","(workflow state)","CAPA","Errata Register","Errata record","Track action status","Close each erratum","Silently rewrite the edition","Each action links its cause","(gold case TBD)","Absent"
Researcher,RES-19,Errata effectiveness review,"Verify a published correction resolved the issue","Closed erratum","MethodRuns (effectiveness); evidence","(workflow state)","effectiveness check","Effectiveness Review","Effectiveness record","Collect check evidence","Effectiveness decision","Infer effectiveness from closure","Decision is human and evidence-backed","(gold case TBD)","Absent"
Researcher,RES-20,Matter closure,"Close the research matter with sealed state","Matter; open items","InvestigationCase; events","(workflow state)","closure review","Matter Closure","Closure record","List open items","Confirm closure","Destroy history on close","Reopen preserves full history","(gold case TBD)","Absent"
Journalist,JRN-15,Ask the story file,"Ask a question over the story sources","Question; story scope","Sources; EvidenceBlocks; Claims","(workflow state)","retrieval; evidence gate","Ask","Cited answer","Retrieve evidence","Accept/refine answer","Answer beyond sources","Every claim cites evidence","(gold case TBD)","Absent"
Journalist,JRN-16,Method workbench,"Run structured methods over the story","Story; method choice","MethodRuns; Claims; evidence","(workflow state)","5W1H; hypothesis matrix","Methods","Method run record","Suggest next step","Human review gates","Auto-confirm findings","Method validators enforced","(gold case TBD)","Absent"
Journalist,JRN-17,Story data desk,"Build datasets over documents","Documents; fields","Workbench datasets; bindings","(workflow state)","dataset; transform","DataLab","Cited dataset","Propose columns","Review derived values","Fabricate a value","Every cell drills to its source","(gold case TBD)","Absent"
Journalist,JRN-18,Who's who resolution,"Unify names and aliases to one subject","Candidate names; mentions","Entities; aliases; mentions","(workflow state)","review; decision","Identity Resolution","Identity decision log","Propose merges","Confirm/reject merge","Auto-merge without review","Merge reversible; decision recorded","(gold case TBD)","Absent"
Journalist,JRN-19,Causal analysis,"Trace why events unfolded","Event; evidence","MethodRuns; Claims; evidence","(workflow state)","five whys; fishbone","Causal Analysis","Causal chain record","Suggest why-levels","Confirm root cause","Unsupported causal leap","Chain deepens only from supported levels","(gold case TBD)","Absent"
Journalist,JRN-20,Source-document vault,"Custody-tracked vault for source documents","Documents","Sources; custody events; hashes","(workflow state); SensitiveScope","custody","Evidence Vault","Custody log","Hash on intake","Confirm custody events","Alter originals","Tamper-evident custody chain","(gold case TBD)","Absent"
Journalist,JRN-21,Correction actions,"Track corrective actions on published errors","Published error","MethodRuns (CAPA); Claims","(workflow state)","CAPA","Correction Actions","Correction action record","Track action status","Close each action","Silently unpublish","Each action links its cause","(gold case TBD)","Absent"
Journalist,JRN-22,Correction effectiveness,"Verify a published correction resolved the error","Closed correction","MethodRuns (effectiveness); evidence","(workflow state)","effectiveness check","Effectiveness Review","Effectiveness record","Collect check evidence","Effectiveness decision","Infer effectiveness from closure","Decision is human and evidence-backed","(gold case TBD)","Absent"
Individual,IND-14,Ask my records,"Ask a question over your records","Question","Sources; EvidenceBlocks; Claims","(workflow state)","retrieval; evidence gate","Ask","Cited answer","Retrieve evidence","Accept/refine answer","Answer beyond your records","Every answer cites its document","(gold case TBD)","Absent"
Individual,IND-15,Guided methods,"Step-by-step structured methods","Topic; method choice","MethodRuns; Claims; evidence","(workflow state)","5W1H; checklists","Methods","Method run record","Suggest next step","Human review gates","Auto-confirm findings","Method validators enforced","(gold case TBD)","Absent"
Individual,IND-16,Name & alias resolution,"Confirm two names are the same person/company","Candidate names","Entities; aliases; mentions","(workflow state)","review; decision","Identity Resolution","Identity decision log","Propose matches","You confirm/reject","Auto-merge without review","Merge reversible; decision recorded","(gold case TBD)","Absent"
Individual,IND-17,Document reliability,"Assess how reliable a document/source is","Document","Sources; reliability assessments","(workflow state)","reliability review","Source Reliability","Reliability record","Suggest factors","Confirm assessment","Declare a document true","Assessment cites its basis","(gold case TBD)","Absent"
Individual,IND-18,Conflicts & gaps,"See where records disagree or are missing","Records scope","Contradictions; gaps","(workflow state)","contradiction; gap","Conflicts & Gaps","Conflict/gap register","Surface conflicts","Review each conflict","Average conflicts away","Both sides preserved; absence labelled","(gold case TBD)","Absent"
Individual,IND-19,Why did this happen?,"Trace causes step by step","Event; records","MethodRuns; Claims; evidence","(workflow state)","five whys","Causal Analysis","Causal chain record","Suggest why-levels","Confirm root cause","Unsupported causal leap","Chain deepens only from supported levels","(gold case TBD)","Absent"
Individual,IND-20,Fix-it list,"Track corrective actions to closure","Identified problems","MethodRuns (CAPA)","(workflow state)","CAPA","Fix-it List","Action record","Track action status","Close each action","Mark fixed without doing it","Each action links its cause","(gold case TBD)","Absent"
Individual,IND-21,Did the fix work?,"Verify a completed fix resolved the problem","Closed action","MethodRuns (effectiveness); evidence","(workflow state)","effectiveness check","Effectiveness Review","Effectiveness record","Collect check evidence","You decide effectiveness","Infer effectiveness from closure","Decision is human and evidence-backed","(gold case TBD)","Absent"
Individual,IND-22,Document vault,"Custody-tracked vault for originals","Documents","Sources; custody events; hashes","(workflow state); SensitiveScope","custody","Document Vault","Custody log","Hash on intake","Confirm custody events","Alter originals","Tamper-evident custody chain","(gold case TBD)","Absent"
Individual,IND-23,Close a matter,"Close a personal matter with sealed state","Matter; open items","InvestigationCase; events","(workflow state)","closure review","Matter Closure","Closure record","List open items","Confirm closure","Destroy history on close","Reopen preserves full history","(gold case TBD)","Absent"
Lawyer,LAW-15,Ask the case file,"Ask a question over the matter record","Question; matter scope","Sources; EvidenceBlocks; Claims","(workflow state)","retrieval; evidence gate","Ask","Cited answer","Retrieve evidence","Accept/refine answer","Answer beyond the record","Every claim cites evidence","(gold case TBD)","Absent"
Lawyer,LAW-16,Method workbench,"Run structured methods over the matter","Matter; method choice","MethodRuns; Claims; evidence","(workflow state)","5W1H; hypothesis matrix","Methods","Method run record","Suggest next step","Human review gates","Auto-confirm findings","Method validators enforced","(gold case TBD)","Absent"
Lawyer,LAW-17,Party & alias resolution,"Unify party names and aliases","Candidate names; mentions","Entities; aliases; mentions","(workflow state)","review; decision","Identity Resolution","Identity decision log","Propose merges","Confirm/reject merge","Auto-merge without review","Merge reversible; decision recorded","(gold case TBD)","Absent"
Lawyer,LAW-18,Source reliability desk,"Assess reliability/independence of sources","Sources","Sources; reliability assessments","(workflow state)","reliability review","Source Reliability","Reliability record","Suggest factors","Confirm assessment","Declare a source true","Assessment cites its basis","(gold case TBD)","Absent"
Lawyer,LAW-19,Causation analysis,"Trace causation step by step","Event; record","MethodRuns; Claims; evidence","(workflow state)","five whys; fishbone","Causal Analysis","Causal chain record","Suggest why-levels","Confirm root cause","Assert legal causation as fact","Chain deepens only from supported levels","(gold case TBD)","Absent"
Lawyer,LAW-20,Remediation register,"Track remediation/undertakings to closure","Identified issues","MethodRuns (CAPA)","(workflow state)","CAPA","Remediation Register","Remediation record","Track action status","Close each action","Mark remediated without evidence","Each action links its cause","(gold case TBD)","Absent"
Lawyer,LAW-21,Remediation effectiveness,"Verify a remediation resolved the issue","Closed remediation","MethodRuns (effectiveness); evidence","(workflow state)","effectiveness check","Effectiveness Review","Effectiveness record","Collect check evidence","Effectiveness decision","Infer effectiveness from closure","Decision is human and evidence-backed","(gold case TBD)","Absent"
Lawyer,LAW-22,Matter closure & reopen,"Close the matter; reopen preserves history","Matter; open items","InvestigationCase; events","(workflow state)","closure review","Matter Closure","Closure record","List open items","Confirm closure","Destroy history on close","Reopen preserves full history","(gold case TBD)","Absent"
