path,subsystem,authority_level,runtime_role,test_coverage,release_visibility,known_risk,owner
Kalsmritikosh/Brain/MasterBrain.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"release","MED: generative-call orchestration - budget discipline",owner
Kalsmritikosh/Brain/QueryCategory.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Brain/ReasoningTrace.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Brain/Reranker.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Brain/RerankerLadder.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Brain/SessionProfile.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/ContentView.swift,Kalsmritikosh/ContentView.swift,"n/a","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Concurrency/BackgroundService.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Concurrency/BackgroundTaskScheduler.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Concurrency/CalibrationStore.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Concurrency/LLMCallCounters.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Concurrency/LastRunStatus.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Concurrency/ProcessActivity.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Concurrency/ResourceLane.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Core/Concurrency/SystemActivity.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/LLM/LLMCallBudget.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/LLM/LLMRequestContext.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/LegalNotice.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Logging/KalsmritikoshLogger.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/AnyCodable.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/Assertion.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/CausalLink.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/Chunk.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/CitationRecord.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/Confidence.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/Contradiction.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/CustodyEvent.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/DatePrecision.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/DerivedObject.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/DocumentProfile.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/Entity.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/Event.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/EvidenceBlock.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/EvidenceBlockKind.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/FactReview.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/FactStatus.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/GapNode.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/KnowledgeObject.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/MemoryChange.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/MemoryObject.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/ParsedDocument.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/ParserWarning.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/PersonaTemplateCatalog.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/Relationship.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/ReviewVocabularies.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/Screening.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/SourceLocator.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/SourceRange.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/SourceType.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Core/Models/Summary.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/TranscriptSegment.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/WorkProduct.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Models/Workspace.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Security/BookmarkStore.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Services/Expert.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Services/Extractor.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Services/Ingestor.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Services/ModelProvider.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Core/Services/Retriever.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Services/Router.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Services/Summarizer.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Services/TokenBudget.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Core/Services/Verifier.swift,Core,"authority (models/contracts)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/EvalKit/ErrorAnalysisClassifier.swift,EvalKit,"verification","dev/eval",unwired (no test target),"dev/internal","",owner
Kalsmritikosh/EvalKit/EvalKitRunner.swift,EvalKit,"verification","dev/eval",unwired (no test target),"dev/internal","",owner
Kalsmritikosh/EvalKit/Gate1Baseline.swift,EvalKit,"verification","dev/eval",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/EvalKit/GoldEvalGate.swift,EvalKit,"verification","dev/eval",unwired (no test target),"dev/internal","",owner
Kalsmritikosh/EvalKit/GroundTruthEvalKit.swift,EvalKit,"verification","dev/eval",unwired (no test target),"dev/internal","",owner
Kalsmritikosh/EvalKit/NarrativeEvalKit.swift,EvalKit,"verification","dev/eval",unwired (no test target),"dev/internal","",owner
Kalsmritikosh/EvalKit/NarrativeEvalReportStore.swift,EvalKit,"verification","dev/eval",unwired (no test target),"dev/internal","",owner
Kalsmritikosh/EvalKit/RealDataProbe.swift,EvalKit,"verification","dev/eval",unwired (no test target),"dev/internal","",owner
Kalsmritikosh/EvalKit/ReleaseReadiness.swift,EvalKit,"verification","dev/eval",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/EvalKit/RetrievalGoldEval.swift,EvalKit,"verification","dev/eval",unwired (no test target),"dev/internal","",owner
Kalsmritikosh/EvalKit/RetrievalSelfEval.swift,EvalKit,"verification","dev/eval",unwired (no test target),"dev/internal","",owner
Kalsmritikosh/Experts/EmailExpert.swift,Experts,"projection (stateless readers)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Experts/FinancialExpert.swift,Experts,"projection (stateless readers)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Experts/LegalExpert.swift,Experts,"projection (stateless readers)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Experts/OCRExpert.swift,Experts,"projection (stateless readers)","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Experts/ProjectExpert.swift,Experts,"projection (stateless readers)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Experts/ReasoningExpert.swift,Experts,"projection (stateless readers)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Experts/ResearchExpert.swift,Experts,"projection (stateless readers)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Experts/Shared/PromptTemplates.swift,Experts,"projection (stateless readers)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Experts/TimelineExpert.swift,Experts,"projection (stateless readers)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Export/CitationRenderer.swift,Export,"projection (renders evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Export/ExportManifest.swift,Export,"projection (renders evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Export/VerifiableReceipt.swift,Export,"projection (renders evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Export/WorkProductComposer.swift,Export,"projection (renders evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Export/WorkProductExporter.swift,Export,"projection (renders evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/ASR/OpenAIWhisperTranscriber.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/ASR/SpeechTranscriber.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/ASR/WhisperKitTranscriber.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Ingestion/Archives/NSFReader.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Archives/OLE2Reader.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Archives/PSTReader.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Archives/ZIPReader.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/ChunkAdmissionGate.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Classification/DocumentClassifier.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Cleaning/Cleaner.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Cleaning/ContentDecoder.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Export/DocumentExporter.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Export/ZipWriter.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Loaders/ArchiveLoader.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Loaders/AudioLoader.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Loaders/BrowserHistoryLoader.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Loaders/ChatExportLoader.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Loaders/DocxLoader.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Loaders/EmailLoader.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Ingestion/Loaders/EpubLoader.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Loaders/ExternalSQLiteSource.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Ingestion/Loaders/IMessageLoader.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Loaders/ImageLoader.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Loaders/LegacyOfficeScanner.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Loaders/MIMEParser.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Loaders/PDFLoader.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Loaders/PresentationLoader.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Loaders/SpreadsheetLoader.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Loaders/TextLoader.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Loaders/ThreadCoalescer.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Loaders/VideoLoader.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/OCR/LogisticsTableMapper.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/OCR/TableOCR.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/OCR/VisionOCR.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Pipeline/Chunker.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Ingestion/Pipeline/ContextPrefixGenerator.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Ingestion/Pipeline/FolderWatcher.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Pipeline/IncrementalUpdater.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Pipeline/IngestCoordinator.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"dev/internal (gated)","HIGH: not crash-atomic - ING-001/002",owner
Kalsmritikosh/Ingestion/Pipeline/LoaderRegistry.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Pipeline/SubjectInvalidation.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Structural/CSVStructuralParser.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Structural/DocStructuralParser.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Structural/DocxStructuralParser.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Structural/EMLXStructuralParser.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Ingestion/Structural/EPUBStructuralParser.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Structural/EmailStructuralParser.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Ingestion/Structural/ImageStructuralParser.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Structural/MBOXStructuralParser.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Structural/ODSStructuralParser.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Structural/ODTStructuralParser.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Structural/PDFStructuralParser.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Structural/PPTXStructuralParser.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Structural/PlainTextStructuralParser.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Structural/RTFStructuralParser.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Structural/StructuralParser.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Structural/StructuralParserRegistry.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Ingestion/Structural/XLSXStructuralParser.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Ingestion/Structural/XlsStructuralParser.swift,Ingestion,"authority-writer (produces evidence)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/KalsmritikoshApp.swift,Kalsmritikosh/KalsmritikoshApp.swift,"n/a","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Backfill/ContextPrefixBackfiller.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Knowledge/Backfill/NarrativeSlotBackfiller.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Backfill/QualityTierBackfiller.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Boilerplate/BoilerplateRegistry.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Briefings/WeeklyBriefingGenerator.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Causal/AllenInterval.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Causal/CausalDiscoverer.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Causal/ConfidencePropagator.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Causal/ContradictionFinder.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Causal/CounterfactualSimulator.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Cleaning/AITextCorrector.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Dossier/SubjectDossier.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Entities/EntityDossier.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Entities/EntityExtractor.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Entities/EntityLinker.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Entities/EntityQualityGate.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Entities/EntityReconciler.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Entities/EntityTrie.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Entities/NameSimilarity.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Entities/QualityTierClassifier.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Environments/DocumentEnvironment.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Events/EventExtractor.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Events/EventNarrativeSlots.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Events/NarrativeSlotExtractor.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Events/PatentLegalEventExtractor.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Graph/GraphStore.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Graph/RelationshipExtractor.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Ledger/ContradictionDetector.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Ledger/FactStatusClassifier.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Ledger/FullLLMEngine.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Ledger/GapDetector.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Ledger/HotWarmColdEngine.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Ledger/ImportanceScorer.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Ledger/IngestEstimator.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Ledger/InvestigationTemplates.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Ledger/LedgerEventDrivenEngine.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Ledger/LedgerPromoter.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Knowledge/Ledger/SystemEngine.swift,Knowledge,"projection (derived ledger)","runtime",unwired (no test target),"release","",owner
